,Date,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
20,2016-11-01,2111.72,1501.72,1710.963,1209.01,1014.481,1470.777,2968.8,5296.536
21,2016-10-31,2126.15,1508.15,1690.281,1209.715,994.718,1467.083,2968.8,5290.647
22,2016-10-28,2126.41,1500.41,1687.032,1207.994,988.398,1463.392,,5282.82
23,2016-10-27,2133.04,1515.04,1694.214,1211.366,998.125,1466.663,2968.8,5280.956
24,2016-10-26,2139.43,,1691.055,1210.698,991.875,1462.975,2968.8,5276.968
25,2016-10-25,2143.16,1525.16,1692.468,1213.575,997.152,1466.243,2984.8,5280.03
26,2016-10-24,2151.33,1525.33,1713.573,1213.215,1009.629,1462.559,3000.8,5275.699
27,2016-10-21,2141.16,1523.16,1723.275,1213.704,1021.307,1465.823,2984.8,5269.721
28,2016-10-20,2141.34,1531.34,1731.492,1215.971,1031.842,1469.084,2984.8,5263.911
29,2016-10-19,2144.29,1526.29,1729.584,1214.715,1026.56,,,5262.91
30,2016-10-18,2139.6,1529.6,1717.155,1216.144,1021.152,1468.661,2984.8,5269.284
31,2016-10-17,2126.5,1508.5,1718.973,1212.122,1018.745,1464.982,2984.8,5283.018
32,2016-10-14,2132.98,1522.98,1723.59,1215.474,1026.502,1468.237,2984.8,5272.175
33,2016-10-13,2132.55,1514.55,1711.233,1213.636,1013.145,1464.562,3000.8,5288.281
34,2016-10-12,2139.18,1529.18,1714.932,1217.016,1020.192,1467.813,3016.8,5287.615
35,2016-10-11,2136.73,1534.73,1725.201,1218.829,1032.318,1471.062,3016.8,5283.682
36,2016-10-10,2163.66,1553.66,,1221.722,1029.148,1467.39,3016.8,5257.732
37,2016-10-07,2153.74,1535.74,1727.658,1218.244,1026.598,1463.72,3000.8,5258.346
38,2016-10-06,2160.77,1534.77,1721.178,1217.7,1017.778,1460.054,3000.8,5254.911
39,2016-10-05,2159.73,1541.73,1739.214,1219.758,1035.915,1463.299,3016.8,5256.764
40,2016-10-04,2150.49,1524.49,1704.726,1216.394,1005.434,1459.636,3016.8,5279.653
41,2016-10-03,2161.2,1527.2,1704.825,1216.49,1001.699,1455.976,3000.8,5260.192
42,2016-09-30,2168.27,1542.27,1708.056,1219.956,1008.387,1459.218,3000.8,5249.245
43,2016-09-29,2151.13,1533.13,1710.279,1219.217,1014.295,1462.457,3000.8,5262.868
44,2016-09-28,2171.37,1545.37,1703.988,1220.973,1005.616,1458.8,3016.8,5256.179
45,2016-09-27,2159.93,1525.93,1700.892,1217.223,999.408,1455.146,3016.8,5270.022
46,2016-09-26,2146.1,1520.1,1693.494,1217.054,997.869,1458.381,3016.8,5283.812
47,2016-09-23,2164.69,1530.69,1684.548,1218.529,987.13,1454.73,3016.8,5269.749
48,2016-09-22,2177.18,1535.18,1680.975,1218.945,980.55,1451.082,3016.8,5259.847
49,2016-09-21,2163.12,1529.12,1675.872,1218.733,980.783,1454.315,3016.8,5273.053
50,2016-09-20,2139.76,1513.76,1672.875,1216.895,982.647,1457.544,3016.8,5294.798
51,2016-09-19,2139.12,1521.12,1667.34,1219.02,982.544,1460.77,3016.8,5294.749
52,2016-09-16,2139.16,1529.16,1665.333,1221.263,985.174,1463.993,3016.8,5292.74
53,2016-09-15,2147.26,,1658.853,1224.915,984.336,1467.212,3032.8,5294.302
54,2016-09-14,2125.77,1531.77,1662.822,1223.392,991.595,1470.429,3048.8,5321.649
55,2016-09-13,2127.02,1541.02,1667.754,1225.846,999.601,1473.642,3048.8,5315.9
56,2016-09-12,2159.04,1565.04,1666.728,1229.689,994.99,1469.997,3048.8,5285.556
57,2016-09-09,2127.81,1525.81,1646.415,1222.454,975.426,1466.355,3064.8,5335.522
58,2016-09-08,2181.3,1587.3,1650.645,1234.07,982.888,1469.566,3048.8,
59,2016-09-07,2186.16,1584.16,1644.633,,974.407,1465.927,3032.8,5256.445
60,2016-09-06,2186.48,1592.48,1651.86,1235.461,984.194,1469.134,3032.8,5250.781
61,2016-09-02,2179.98,1577.98,1658.871,1232.561,985.815,1465.498,3032.8,5256.01
62,2016-09-01,2170.86,1576.86,1666.062,1233.198,995.577,1468.702,3032.8,
63,2016-08-31,2170.95,1584.95,1672.983,1235.453,1005.131,1471.902,3032.8,5254.447
64,2016-08-30,2176.12,1582.12,1651.113,1234.603,984.344,1468.269,3032.8,5258.645
65,2016-08-29,2180.38,1578.38,1632.33,1233.593,965.948,1464.639,3032.8,5262.631
66,2016-08-26,2169.04,1575.04,1643.229,1233.835,978.588,1467.837,3032.8,5267.255
67,2016-08-25,2172.47,1570.47,1630.971,1232.68,965.253,1464.21,3032.8,5269.675
68,2016-08-24,2175.44,1581.44,1643.751,1235.444,979.356,1467.404,3032.8,5259.284
69,2016-08-23,2186.9,1584.9,1634.751,1235.708,968.548,1463.78,3048.8,5262.474
70,2016-08-22,2182.64,1572.64,1635.426,1233.196,965.253,1460.16,3032.8,5257.797
71,2016-08-19,2183.87,1565.87,1626.246,1231.654,954.302,1456.542,3032.8,5261.296
72,2016-08-18,2187.02,1577.02,1636.038,1234.453,966.09,1459.733,3016.8,5241.818
73,2016-08-17,2182.22,1580.22,1635.66,1235.844,969.976,1462.921,3016.8,5244.072
74,2016-08-16,2178.15,1584.15,1641.06,1237.364,978.354,1466.106,3016.8,5243.441
75,2016-08-15,2190.15,1588.15,1642.932,1237.732,975.99,1462.491,3000.8,5222.054
76,2016-08-12,2184.05,1590.05,1641.15,1238.892,978.786,1465.673,3016.8,5236.131
77,2016-08-11,2185.79,1583.79,1637.325,1237.442,971.993,1462.061,3000.8,5227.135
78,2016-08-10,2175.49,1565.49,1620.297,1233.854,954.933,,2984.8,5235.131
79,2016-08-09,2181.74,1579.74,1608.597,1237.204,950.013,1461.631,2984.8,5230.592
80,2016-08-08,2180.89,1570.89,1612.584,1235.294,949.291,1458.025,3000.8,5241.27
81,2016-08-05,2182.87,1564.87,1607.778,1233.887,941.731,1454.422,2984.8,5232.421
82,2016-08-04,2164.25,1554.25,1630.242,1232.813,963.386,1457.597,2968.8,5229.908
83,2016-08-03,2163.79,1561.79,1631.061,1234.97,968.203,1460.77,2952.8,5217.376
84,2016-08-02,2157.03,1563.03,1633.914,1236.004,974.603,1463.939,2936.8,5210.375
85,2016-08-01,2170.84,1584.84,1643.112,1240.705,985.943,1467.105,2936.8,5190.405
86,2016-07-29,2173.6,1579.6,1642.734,1239.437,981.83,1463.505,2920.8,5179.098
87,2016-07-28,2170.06,1568.06,1629.927,1237.045,968.04,1459.908,2920.8,5188.799
88,2016-07-27,2166.58,1572.58,1631.313,1238.663,973.299,1463.071,2920.8,5189.07
89,2016-07-26,2169.18,1567.18,1629.477,1237.367,968.05,1459.477,2920.8,5188.482
90,2016-07-25,2168.48,1558.48,1616.202,1235.481,953.889,1455.886,2936.8,5205.542
91,2016-07-22,2175.03,1573.03,1638.198,1238.893,975.203,1459.046,2936.8,5187.948
92,2016-07-21,2165.17,1555.17,1619.514,1235.367,956.827,1455.458,2936.8,5206.235
93,2016-07-20,2173.02,1555.02,1616.427,1235.013,950.6,1451.873,2936.8,5200.882
94,2016-07-19,2163.78,1537.78,1599.021,1231.595,933.213,1448.292,2936.8,5218.086
95,2016-07-18,2166.89,1532.89,1589.265,1230.392,921.785,1444.713,2936.8,5220.032
96,2016-07-15,2161.74,1519.74,1557.657,1227.707,893.319,1441.137,2936.8,5238.602
97,2016-07-14,2163.75,1513.75,1545.489,,880.004,1437.565,2936.8,5242.597
98,2016-07-13,2152.43,1510.43,1539.405,1226.51,879.43,1440.721,2920.8,5243.601
99,2016-07-12,2152.14,1518.14,1544.022,1228.695,887.201,1443.874,2920.8,5239.474
100,2016-07-11,2137.16,1495.16,1545.579,1224.236,884.586,1440.304,2920.8,5255.208
101,2016-07-08,2129.9,1495.9,1556.244,1225.164,897.076,1443.454,2920.8,5255.719
102,2016-07-07,2097.9,1471.9,1558.998,1221.631,903.397,1446.601,2920.8,5284.006
103,2016-07-06,2099.73,1465.73,1564.065,1220.193,903.523,1443.035,2920.8,5281.57
104,2016-07-05,2088.55,1462.55,1561.698,1220.407,905.848,1446.178,2920.8,5291.007
105,2016-07-01,2102.95,1484.95,1565.496,1225.238,912.985,1449.319,2904.8,5262.485
106,2016-06-30,2098.86,1472.86,1555.812,1222.731,901.598,1445.755,2904.8,5271.662
107,2016-06-29,2070.77,1436.77,1535.76,1215.884,882.113,1442.195,2904.8,5308.86
108,2016-06-28,2036.09,1394.09,1535.058,1207.839,877.735,1438.637,2904.8,5345.168
109,2016-06-27,2000.54,1350.54,1520.496,1199.629,862.531,1435.082,2920.8,5397.722
110,2016-06-24,2037.41,1379.41,1518.201,1204.528,856.906,1431.53,2904.8,5353.106
111,2016-06-23,2113.32,1463.32,1509.03,,853.909,1434.668,2904.8,5278.124
112,2016-06-22,2085.45,1427.45,,1213.689,846.032,1431.119,2920.8,5319.374
113,2016-06-21,2088.9,1438.9,1511.982,1216.545,856.549,1434.253,2936.8,5320.128
114,2016-06-20,2083.25,,1502.784,1213.75,845.527,1430.707,2920.8,5320.731
115,2016-06-17,2071.22,1421.22,1486.854,1213.794,837.241,1433.839,2920.8,5336.349
116,2016-06-16,2077.99,1435.99,1485.018,1217.254,839.969,1436.967,2920.8,5327.673
117,2016-06-15,2071.5,1421.5,1437.912,1214.303,799.301,1433.424,2920.8,5353.969
118,2016-06-14,2075.32,,1446.444,1217.227,810.132,1436.549,2920.8,5344.204
119,2016-06-13,2079.06,1445.06,1460.196,1220.137,825.047,1439.67,2904.8,5322.466
120,2016-06-10,2096.07,1470.07,1477.998,1225.466,843.134,1442.789,2904.8,
121,2016-06-09,2115.48,1481.48,1485.585,1227.237,845.233,1439.249,2904.8,5274.846
122,2016-06-08,2119.12,1493.12,,1230.134,853.805,1442.365,2904.8,5266.367
123,2016-06-07,2112.13,1494.13,1502.586,1231.092,866.865,1445.477,2888.8,5256.256
124,2016-06-06,2109.41,1499.41,1513.737,1232.828,879.758,1448.587,2904.8,5261.95
125,2016-06-03,2099.13,1497.13,1522.494,1233.182,890.78,1451.693,2920.8,5276.14
126,2016-06-02,2105.26,1495.26,1524.447,1232.535,888.477,1448.156,2920.8,5270.6
127,2016-06-01,2099.33,1481.33,1509.894,1229.682,873.25,1444.622,2920.8,5283.645
128,2016-05-31,2096.96,1470.96,1504.656,1227.48,865.315,1441.091,2920.8,5289.455
129,2016-05-27,2099.06,1481.06,1512.711,1230.096,875.79,1444.194,2936.8,5291.532
130,2016-05-26,2090.1,1464.1,1503.09,1226.685,864.42,1440.666,2936.8,5305.674
131,2016-05-25,2090.54,1456.54,1485.9,1224.996,847.119,1437.141,2936.8,5313.43
132,2016-05-24,2076.06,1450.06,1497.132,1224.569,860.084,1440.241,2936.8,5320.822
133,2016-05-23,2048.04,1430.04,1502.145,1221.652,868.178,1443.338,2936.8,5344.219
134,2016-05-20,2052.32,1442.32,1513.512,1224.665,881.253,1446.432,2936.8,5332.781
135,2016-05-19,2040.04,1438.04,1516.707,,887.924,1449.523,2920.8,5331.152
136,2016-05-18,2047.63,1437.63,1535.544,1224.255,898.86,1446.0,2920.8,5317.407
137,2016-05-17,2047.21,1429.21,1521.216,1222.404,883.795,1442.481,2920.8,5324.908
138,2016-05-16,2066.66,1456.66,1532.943,1228.213,897.159,1445.569,2936.8,5308.129
139,2016-05-13,2046.61,1428.61,1526.607,1222.745,888.359,1442.052,2920.8,5322.073
140,2016-05-12,2064.11,1454.11,1523.691,1228.198,890.24,1445.137,2936.8,5313.102
141,2016-05-11,2064.46,1462.46,1538.73,1230.491,906.207,1448.218,2952.8,5314.078
142,2016-05-10,2084.39,1474.39,1539.693,1232.399,903.132,1444.705,2952.8,5295.116
143,2016-05-09,2058.69,,1518.867,1225.88,882.959,1441.194,2936.8,5320.544
144,2016-05-06,2057.14,1431.14,1531.683,1223.821,889.185,1437.687,2920.8,5308.298
145,2016-05-05,2050.63,1416.63,1515.987,1220.844,873.033,1434.182,2904.8,5312.491
146,2016-05-04,2051.12,1409.12,1498.14,1219.161,855.189,1430.681,2920.8,5330.564
147,2016-05-03,2063.37,1413.37,1509.471,1219.656,860.251,1427.182,2936.8,5325.11
148,2016-05-02,2081.43,1439.43,1526.112,1225.231,877.486,1430.26,2952.8,5307.691
149,2016-04-29,2065.3,1431.3,1518.858,1224.47,875.957,1433.336,2952.8,5324.116
150,2016-04-28,2075.81,1433.81,1492.434,1224.648,851.368,1429.84,2936.8,5315.672
151,2016-04-27,2095.15,1445.15,1486.458,1226.467,842.838,1426.347,2952.8,5310.129
152,2016-04-26,2091.7,,1491.894,1228.058,851.273,1429.419,2968.8,5318.749
153,2016-04-25,2087.79,1437.79,1493.784,1225.562,848.923,1425.929,2952.8,5313.265
154,2016-04-22,2091.58,1433.58,1469.043,1224.497,825.642,1422.443,2952.8,5320.912
155,2016-04-21,2091.48,1425.48,1464.768,1222.709,818.443,1418.959,2968.8,5334.136
156,2016-04-20,2102.4,1444.4,1498.986,,849.507,1422.028,2968.8,5306.656
157,2016-04-19,2100.8,1450.8,1476.279,1228.907,835.818,1425.094,2968.8,5314.891
158,2016-04-18,2094.34,1436.34,1519.02,1225.935,865.594,1421.613,2968.8,5305.276
159,2016-04-15,2080.73,1430.73,1528.794,1225.627,877.449,1424.675,2968.8,5312.253
160,2016-04-14,2082.78,1440.78,1534.482,1228.24,886.092,1427.735,2984.8,5315.234
161,2016-04-13,2082.42,1432.42,1523.232,1226.402,873.41,1424.257,,5321.559
162,2016-04-12,2061.72,1419.72,1520.424,1224.764,875.369,1427.314,2984.8,5340.772
163,2016-04-11,2041.99,1407.99,,1223.303,883.85,1430.367,2984.8,5355.614
164,2016-04-08,2047.6,1405.6,1525.158,1222.577,879.431,1426.892,2984.8,
165,2016-04-07,2041.91,1391.91,1523.592,1219.738,874.366,1423.42,2968.8,5349.366
166,2016-04-06,2066.66,1424.66,1518.786,1226.6,874.751,1426.47,2968.8,5323.956
167,2016-04-05,2045.17,1411.17,1527.273,1224.8,885.601,1429.518,2968.8,5339.31
168,2016-04-04,2066.13,1440.13,1535.346,1230.956,896.127,1432.562,2984.8,5322.379
169,2016-04-01,2072.78,1438.78,1540.26,1230.432,896.167,1429.093,3000.8,5325.055
170,2016-03-31,2059.74,1417.74,1531.026,1226.213,885.063,1425.627,3000.8,5343.267
171,2016-03-30,2063.95,1429.95,1537.533,1229.231,894.359,1428.668,3000.8,5333.722
172,2016-03-29,2055.01,1413.01,1534.968,1225.778,888.507,1425.204,3000.8,5345.08
173,2016-03-28,2037.05,1387.05,1525.248,1220.627,877.017,1421.744,3016.8,5378.427
174,2016-03-24,2035.94,1377.94,1516.185,1218.643,866.042,1418.286,3000.8,5374.659
175,2016-03-23,2036.71,1370.71,1521.585,1217.013,866.466,1414.831,2984.8,5363.009
176,2016-03-22,2049.8,1391.8,1521.495,1221.704,870.563,1417.87,3000.8,5357.319
177,2016-03-21,2051.6,1401.6,1528.461,1224.27,880.224,1420.905,3000.8,5349.98
178,2016-03-18,2049.58,1407.58,1524.591,1226.115,881.34,1423.937,3000.8,5350.972
179,2016-03-17,2040.59,1390.59,1524.816,1222.644,877.686,1420.485,3016.8,
180,2016-03-16,2027.22,1385.22,1529.451,1222.345,885.511,,3032.8,5390.023
181,2016-03-15,2015.93,1381.93,1536.633,1222.435,895.346,1426.54,3032.8,5395.669
182,2016-03-14,2019.64,1393.64,1525.275,1225.359,890.553,1429.563,3016.8,5384.068
183,2016-03-11,2022.19,1404.19,1530.261,1228.064,898.656,1432.583,3016.8,5376.789
184,2016-03-10,1989.57,1379.57,1529.577,1224.113,902.285,1435.6,3032.8,5417.054
185,2016-03-09,1989.26,1371.26,1536.606,1222.274,904.003,1432.151,3032.8,5415.773
186,2016-03-08,1979.26,1369.26,1544.49,1222.598,914.397,1435.165,3048.8,5429.816
187,2016-03-07,2001.76,1399.76,1546.704,1229.083,920.316,1438.176,3032.8,5393.737
188,2016-03-04,1999.99,1389.99,1538.172,1226.968,909.748,1434.73,3032.8,5400.45
189,2016-03-03,1993.4,1391.4,1545.912,1227.938,920.032,1437.737,3032.8,5401.133
190,2016-03-02,1986.45,1376.45,1539.882,1224.838,911.439,1434.294,3032.8,5411.978
191,2016-03-01,1978.35,1376.35,1551.177,1225.518,924.533,1437.299,3016.8,5402.663
192,2016-02-29,1932.23,1338.23,1547.703,1218.965,925.959,1440.301,3016.8,5447.601
193,2016-02-26,1948.05,1346.05,1549.368,1220.189,923.445,1436.86,3032.8,5442.427
194,2016-02-25,1951.7,1357.7,1546.452,1223.099,925.312,1439.859,3016.8,5427.362
195,2016-02-24,1929.8,1343.8,,1221.142,935.964,1442.855,3000.8,5433.138
196,2016-02-23,1921.27,1327.27,1544.616,1217.729,924.201,1439.417,2984.8,5437.274
197,2016-02-22,1945.5,1359.5,1551.825,1224.562,934.072,1442.41,3000.8,5417.334
198,2016-02-19,1917.78,1323.78,1536.237,1217.487,917.916,1438.975,,5443.031
199,2016-02-18,1917.83,1331.83,1541.376,1219.708,926.15,,3000.8,5448.149
200,2016-02-17,1926.82,1332.82,1522.494,1219.637,907.383,1438.533,3016.8,5458.557
201,2016-02-16,1895.58,1309.58,1521.36,1215.878,910.654,1441.52,3000.8,5477.642
202,2016-02-12,1864.78,1270.78,1487.16,1208.196,879.76,1438.091,2984.8,5514.403
203,2016-02-11,1829.08,1243.08,1494.207,1203.569,889.502,1441.074,2968.8,5534.468
204,2016-02-10,1851.86,1257.86,1478.745,1206.133,873.428,1437.648,2968.8,5519.675
205,2016-02-09,1852.21,1250.21,1486.305,1204.405,875.576,1434.225,2952.8,5507.468
206,2016-02-08,1853.44,1259.44,1488.024,1206.845,881.101,1437.205,2936.8,5492.878
207,2016-02-05,1880.05,1294.05,1468.143,1214.154,869.523,1440.183,2936.8,5472.172
208,2016-02-04,1915.45,1321.45,1431.531,1219.156,836.69,1436.763,2936.8,5453.877
209,2016-02-03,1912.53,1310.53,1394.136,1216.807,803.23,1433.345,2952.8,5484.269
210,2016-02-02,1903.03,1309.03,1432.719,1217.193,837.947,1436.32,2952.8,5474.585
211,2016-02-01,1939.38,1337.38,1495.638,1222.392,883.955,1432.905,2952.8,5412.538
212,2016-01-29,1940.24,1346.24,1475.955,1224.771,872.523,1435.877,2952.8,5417.535
213,2016-01-28,1893.36,1307.36,1484.46,1217.961,883.426,1438.845,2936.8,5448.127
214,2016-01-27,1882.95,1288.95,1473.975,1214.165,871.28,1435.434,2952.8,5474.442
215,2016-01-26,1903.63,1301.63,1457.748,1216.358,854.579,1432.025,2952.8,5462.159
216,2016-01-25,1877.08,1283.08,1469.241,1213.449,867.852,1434.99,2952.8,5481.125
217,2016-01-22,1906.9,1320.9,1468.8,1221.41,871.664,1437.953,2952.8,5448.879
218,2016-01-21,1868.99,1274.99,1466.838,1212.302,866.271,1434.547,2936.8,5479.024
219,2016-01-20,1859.33,1273.33,1475.604,1212.642,877.385,1437.506,2936.8,5482.264
220,2016-01-19,1881.33,1287.33,1485.513,1215.099,881.409,1434.103,2936.8,5457.341
221,2016-01-15,1880.33,1278.33,1497.582,1213.113,887.148,1430.703,2936.8,5454.47
222,2016-01-14,1921.84,,1495.458,1219.353,881.628,1427.306,2936.8,5415.256
223,2016-01-13,1890.28,1272.28,1483.767,1211.455,868.515,1423.912,,5453.282
224,2016-01-12,1938.68,1312.68,1475.919,1219.039,858.45,1420.52,2920.8,5399.682
225,2016-01-11,1923.67,1289.67,1461.267,1214.344,842.981,1417.132,2904.8,5412.469
226,2016-01-08,1922.03,1280.03,1461.384,1212.238,839.236,1413.746,2904.8,5415.445
227,2016-01-07,1943.09,1309.09,1461.447,1218.537,843.447,1416.702,,5381.745
228,2016-01-06,1990.26,1348.26,1453.914,1225.909,833.626,1413.32,2888.8,5339.259
229,2016-01-05,2016.71,1382.71,1461.204,1233.267,843.577,1416.273,2888.8,5307.005
230,2016-01-04,2012.66,1386.66,1458.54,1234.702,845.622,1419.223,2888.8,5309.611
231,2015-12-31,2043.94,1409.94,1453.536,1239.008,837.807,1415.843,2888.8,5281.916
232,2015-12-30,2063.36,1437.36,1445.904,1245.013,835.903,1418.79,2872.8,5253.24
233,2015-12-29,2078.36,1460.36,1426.086,1250.161,824.313,1421.734,2872.8,5244.351
234,2015-12-28,2056.5,1446.5,1435.338,1248.132,835.824,1424.676,2888.8,5269.539
235,2015-12-24,2060.99,1442.99,1418.886,1247.234,818.905,1421.299,2872.8,5263.698
236,2015-12-23,2064.29,1438.29,1420.317,,816.199,1417.924,2872.8,5261.171
237,2015-12-22,2038.97,1404.97,1414.539,1239.392,807.761,1414.553,2872.8,5290.447
238,2015-12-21,2021.15,1395.15,1437.444,1238.137,830.133,1417.491,2888.8,5305.551
239,2015-12-18,2005.55,1371.55,1413.999,1233.313,807.644,1414.123,2904.8,5342.919
240,2015-12-17,2041.89,1399.89,1424.349,1238.638,812.033,1410.757,2904.8,5303.403
241,2015-12-16,2073.07,1423.07,1419.264,1242.961,804.145,1407.394,2888.8,5265.88
242,2015-12-15,2043.41,1385.41,1431.801,1235.386,810.277,1404.035,2904.8,5301.382
243,2015-12-14,2021.94,1355.94,1403.271,1229.407,783.731,1400.678,2904.8,5336.921
244,2015-12-11,2012.37,1354.37,1407.276,1229.756,791.074,1403.613,2904.8,5342.122
245,2015-12-10,2052.23,1402.23,1406.817,1239.791,794.864,1406.545,2904.8,5299.876
246,2015-12-09,2047.62,1389.62,1401.858,,787.071,1403.19,2904.8,5308.104
247,2015-12-08,2063.59,1397.59,1407.483,1238.474,787.704,1399.839,2888.8,5281.039
248,2015-12-07,2077.07,1403.07,1418.337,1239.349,792.503,1396.491,2904.8,5274.126
249,2015-12-04,2091.69,1425.69,1409.22,,789.399,1399.42,2888.8,5250.983
250,2015-12-03,2049.62,1375.62,1413.279,1234.411,788.787,1396.074,2888.8,5292.647
251,2015-12-02,2079.51,1397.51,1425.285,1238.516,794.509,1392.732,2888.8,5258.793
252,2015-12-01,2102.63,1412.63,1416.78,1241.296,783.889,1389.392,2888.8,5240.884
253,2015-11-30,2080.41,1382.41,1407.861,1235.152,,1386.055,2888.8,5268.508
254,2015-11-27,2090.11,1400.11,1416.672,1239.293,784.116,1388.981,2872.8,5242.264
255,2015-11-25,2088.87,1406.87,1421.982,1241.279,792.505,1391.904,2888.8,5248.525
256,2015-11-24,2089.14,1399.14,1426.41,1239.563,792.192,1388.569,2888.8,5247.668
257,2015-11-23,2086.59,1388.59,1419.57,1237.291,782.896,1385.238,2888.8,5254.698
258,2015-11-20,2089.17,1383.17,1408.356,1236.03,770.11,1381.91,2904.8,5268.572
259,2015-11-19,2081.24,1367.24,1390.707,1232.694,752.189,1378.584,2888.8,5275.867
260,2015-11-18,2083.58,1377.58,1397.952,1235.387,762.121,1381.504,2888.8,5267.675
261,2015-11-17,2050.44,1336.44,1392.228,1227.062,753.709,1378.181,2888.8,5304.814
262,2015-11-16,2053.19,1347.19,1378.998,1229.832,747.306,1381.098,2872.8,5295.46
263,2015-11-13,2023.04,1325.04,1366.641,1226.089,741.598,1384.012,2872.8,5328.623
264,2015-11-12,2045.97,1339.97,1366.29,1228.855,737.468,1380.692,2856.8,5297.279
265,2015-11-11,2075.0,1361.0,1355.769,1232.836,725.221,1377.375,2840.8,5264.445
266,2015-11-10,2081.72,1375.72,1383.444,1236.397,751.465,1380.286,2824.8,5232.6
267,2015-11-09,2078.58,1380.58,,1238.004,744.486,1383.194,2824.8,5239.49
268,2015-11-06,2099.2,1409.2,1393.767,1244.328,768.014,1386.098,2840.8,5215.267
269,2015-11-05,2099.93,1401.93,1394.352,1242.705,764.635,1382.784,2856.8,5225.686
270,2015-11-04,2102.31,1396.31,1377.216,1241.41,747.101,1379.473,2856.8,5232.525
271,2015-11-03,2109.79,1411.79,1386.405,1245.129,758.594,1382.374,2856.8,5218.279
272,2015-11-02,2104.05,1398.05,1372.959,1242.22,744.003,1379.066,2840.8,5221.572
273,2015-10-30,2079.36,1365.36,1351.395,1235.536,722.923,1375.76,2840.8,5257.533
274,2015-10-29,2089.41,1367.41,1344.996,1235.768,713.958,1372.457,2824.8,5241.841
275,2015-10-28,2090.35,1376.35,1351.089,1238.186,722.976,1375.356,2808.8,5225.549
276,2015-10-27,2065.89,1343.89,1357.47,1231.538,724.227,1372.056,2808.8,5248.521
277,2015-10-26,2071.18,1341.18,1353.69,1230.822,717.354,1368.758,2808.8,5246.394
278,2015-10-23,2075.15,1353.15,1357.272,1233.843,724.368,1371.654,2808.8,5238.213
279,2015-10-22,2052.51,1322.51,1343.781,1227.549,709.728,1368.36,2808.8,5268.478
280,2015-10-21,2018.94,1280.94,1326.348,1219.065,691.932,1365.068,2808.8,5311.496
281,2015-10-20,2030.77,1300.77,1321.587,1223.654,692.27,1367.961,2824.8,5309.3
282,2015-10-19,2033.66,1311.66,1330.326,1226.456,703.408,1370.851,2824.8,5299.832
283,2015-10-16,2033.11,1303.11,1327.221,1224.571,697.07,1367.562,2824.8,5303.255
284,2015-10-15,2023.86,1285.86,1292.463,1220.942,665.398,,2840.8,5339.981
285,2015-10-14,1994.24,1264.24,1297.584,1217.228,673.64,,2856.8,5374.694
286,2015-10-13,2003.69,1281.69,1293.984,1221.344,674.901,1370.046,2872.8,
287,2015-10-12,2017.46,1303.46,1319.634,1226.328,699.581,1372.927,2856.8,5336.187
288,2015-10-09,2014.89,1292.89,1312.641,1224.035,690.127,1369.644,2872.8,5353.441
289,2015-10-08,2013.43,1283.43,1301.31,1221.964,677.197,1366.363,2872.8,5361.601
290,2015-10-07,1995.83,1273.83,1300.455,1220.649,680.656,1369.242,2888.8,5387.052
291,2015-10-06,1979.92,1249.92,1287.765,1215.669,666.633,1365.964,2888.8,5410.307
